test_match_cond,speaker_identity,trial_sequence_total,list_number,phase,condition,Answer.time_in_minutes,wrong_attempts,block_sequence,workerid,item_number,island_tested,response,Answer.condition,comp_question_exist,first_response_value,comp_answer
mismatch,Iron-Head,47,2,test,UNGRAM,15.03465,,101,1,141,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,48,2,test,FILL,15.03465,,101,1,132,WH,0.92,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,49,2,test,WH,15.03465,,102,1,7,WH,0.41,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,50,2,test,FILL,15.03465,,102,1,133,WH,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,51,2,test,UNGRAM,15.03465,,102,1,142,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,52,2,test,WH,15.03465,,103,1,1,WH,0.28,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Emily,53,2,test,FILL,15.03465,,103,1,131,WH,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,54,2,test,UNGRAM,15.03465,,103,1,140,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,55,2,test,UNGRAM,15.03465,,104,1,144,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,56,2,test,WH,15.03465,,104,1,13,WH,0.21,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,57,2,test,FILL,15.03465,,104,1,135,WH,0.97,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,58,2,test,WH,15.03465,,105,1,10,WH,0.43,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,59,2,test,UNGRAM,15.03465,,105,1,143,WH,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,60,2,test,FILL,15.03465,,105,1,134,WH,1,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Emily,61,2,test,FILL,15.03465,,106,1,136,WH,0.99,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Thomas,62,2,test,WH,15.03465,,106,1,16,WH,0.55,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,63,2,test,UNGRAM,15.03465,,106,1,145,WH,0.01,undefined,0,,/
,,,,,,,,,,,,,,,,
,,0,practice,,practice_good,15.5312,0,practice,2,practice_good,,0.59,undefined,,,
,,,,,,,,,,,,,,,,
,,0,practice,,practice_bad,15.5312,0,practice,2,practice_bad,,0.02,undefined,,,
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,1,1,exposure,UNGRAM,15.5312,,1,2,116,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,2,1,exposure,FILL,15.5312,,1,2,101,CNPC,0.92,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,3,1,exposure,CNPC,15.5312,,1,2,1,CNPC,0.18,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,4,1,exposure,FILL,15.5312,,2,2,105,CNPC,0.96,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,5,1,exposure,UNGRAM,15.5312,,2,2,120,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,6,1,exposure,CNPC,15.5312,,2,2,13,CNPC,0.28,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,7,1,exposure,UNGRAM,15.5312,,3,2,124,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,8,1,exposure,FILL,15.5312,,3,2,109,CNPC,0.96,undefined,0,,/
